"","Age","Sex","total","count"
"1",10,"F",NA,0
"2",10,"M",1,1
"3",11,"F",1,1
"4",11,"M",NA,0
"5",12,"F",4,4
"6",12,"M",2,2
"7",13,"F",13,13
"8",13,"M",3,3
"9",14,"F",60,60
"10",14,"M",15,15
"11",15,"F",176,176
"12",15,"M",20,20
"13",16,"F",290,290
"14",16,"M",60,60
"15",17,"F",343,343
"16",17,"M",191,191
"17",18,"F",457,457
"18",18,"M",403,403
"19",19,"F",523,523
"20",19,"M",846,846
"21",20,"F",609,609
"22",20,"M",1395,1395
"23",21,"F",787,787
"24",21,"M",1897,1897
"25",22,"F",878,878
"26",22,"M",2281,2281
"27",23,"F",883,883
"28",23,"M",2512,2512
"29",24,"F",897,897
"30",24,"M",2392,2392
"31",25,"F",912,912
"32",25,"M",2212,2212
"33",26,"F",778,778
"34",26,"M",2146,2146
"35",27,"F",779,779
"36",27,"M",1911,1911
"37",28,"F",603,603
"38",28,"M",1732,1732
"39",29,"F",510,510
"40",29,"M",1431,1431
"41",30,"F",431,431
"42",30,"M",1168,1168
"43",31,"F",315,315
"44",31,"M",935,935
"45",32,"F",257,257
"46",32,"M",754,754
"47",33,"F",186,186
"48",33,"M",606,606
"49",34,"F",146,146
"50",34,"M",494,494
"51",35,"F",96,96
"52",35,"M",389,389
"53",36,"F",76,76
"54",36,"M",307,307
"55",37,"F",43,43
"56",37,"M",234,234
"57",38,"F",39,39
"58",38,"M",206,206
"59",39,"F",28,28
"60",39,"M",160,160
"61",40,"F",20,20
"62",40,"M",183,183
"63",41,"F",18,18
"64",41,"M",123,123
"65",42,"F",15,15
"66",42,"M",106,106
"67",43,"F",13,13
"68",43,"M",88,88
"69",44,"F",12,12
"70",44,"M",105,105
"71",45,"F",5,5
"72",45,"M",70,70
"73",46,"F",10,10
"74",46,"M",68,68
"75",47,"F",5,5
"76",47,"M",50,50
"77",48,"F",1,1
"78",48,"M",51,51
"79",49,"F",2,2
"80",49,"M",47,47
"81",50,"F",1,1
"82",50,"M",32,32
"83",51,"F",2,2
"84",51,"M",20,20
"85",52,"F",3,3
"86",52,"M",32,32
"87",53,"F",1,1
"88",53,"M",18,18
"89",54,"F",NA,0
"90",54,"M",26,26
"91",55,"F",2,2
"92",55,"M",12,12
"93",56,"F",NA,0
"94",56,"M",20,20
"95",57,"F",NA,0
"96",57,"M",7,7
"97",58,"F",2,2
"98",58,"M",10,10
"99",59,"F",NA,0
"100",59,"M",6,6
"101",60,"F",NA,0
"102",60,"M",12,12
"103",61,"F",NA,0
"104",61,"M",6,6
"105",62,"F",NA,0
"106",62,"M",NA,0
"107",63,"F",3,3
"108",63,"M",6,6
"109",64,"F",NA,0
"110",64,"M",3,3
"111",65,"F",NA,0
"112",65,"M",1,1
"113",66,"F",NA,0
"114",66,"M",2,2
"115",67,"F",NA,0
"116",67,"M",NA,0
"117",68,"F",NA,0
"118",68,"M",2,2
"119",69,"F",1,1
"120",69,"M",1,1
"121",70,"F",NA,0
"122",70,"M",NA,0
"123",71,"F",NA,0
"124",71,"M",2,2
"125",72,"F",NA,0
"126",72,"M",2,2
"127",73,"F",NA,0
"128",73,"M",1,1
"129",74,"F",NA,0
"130",74,"M",NA,0
"131",75,"F",NA,0
"132",75,"M",NA,0
