"","Year","Continent_Name","totalcont"
"1",1896,"Europe",118
"2",1896,"North America",20
"3",1896,"Oceania",3
"4",1900,"Asia",8
"5",1900,"Europe",477
"6",1900,"North America",70
"7",1900,"Oceania",7
"8",1900,"South America",1
"9",1904,"Europe",35
"10",1904,"North America",447
"11",1904,"Oceania",4
"12",1906,"Europe",405
"13",1906,"North America",26
"14",1906,"Oceania",3
"15",1908,"Africa",2
"16",1908,"Asia",3
"17",1908,"Europe",693
"18",1908,"North America",117
"19",1908,"Oceania",19
"20",1912,"Africa",7
"21",1912,"Asia",14
"22",1912,"Europe",809
"23",1912,"North America",115
"24",1912,"Oceania",10
"25",1920,"Africa",21
"26",1920,"Asia",3
"27",1920,"Europe",1054
"28",1920,"North America",212
"29",1920,"Oceania",8
"30",1920,"South America",7
"31",1924,"Africa",6
"32",1924,"Asia",1
"33",1924,"Europe",583
"34",1924,"North America",207
"35",1924,"Oceania",11
"36",1924,"South America",24
"37",1928,"Africa",10
"38",1928,"Asia",24
"39",1928,"Europe",525
"40",1928,"North America",122
"41",1928,"Oceania",5
"42",1928,"South America",44
"43",1932,"Africa",5
"44",1932,"Asia",49
"45",1932,"Europe",351
"46",1932,"North America",230
"47",1932,"Oceania",7
"48",1932,"South America",5
"49",1936,"Africa",6
"50",1936,"Asia",45
"51",1936,"Europe",721
"52",1936,"North America",134
"53",1936,"Oceania",2
"54",1936,"South America",11
"55",1948,"Africa",11
"56",1948,"Asia",36
"57",1948,"Europe",599
"58",1948,"North America",176
"59",1948,"Oceania",16
"60",1948,"South America",26
"61",1952,"Africa",15
"62",1952,"Asia",41
"63",1952,"Europe",639
"64",1952,"North America",149
"65",1952,"Oceania",23
"66",1952,"South America",30
"67",1956,"Africa",7
"68",1956,"Asia",69
"69",1956,"Europe",589
"70",1956,"North America",144
"71",1956,"Oceania",70
"72",1956,"South America",19
"73",1960,"Africa",6
"74",1960,"Asia",78
"75",1960,"Europe",625
"76",1960,"North America",135
"77",1960,"Oceania",49
"78",1960,"South America",18
"79",1964,"Africa",6
"80",1964,"Asia",105
"81",1964,"Europe",673
"82",1964,"North America",182
"83",1964,"Oceania",50
"84",1964,"South America",14
"85",1968,"Africa",19
"86",1968,"Asia",106
"87",1968,"Europe",673
"88",1968,"North America",196
"89",1968,"Oceania",58
"90",1968,"South America",7
"91",1972,"Africa",20
"92",1972,"Asia",107
"93",1972,"Europe",843
"94",1972,"North America",206
"95",1972,"Oceania",34
"96",1972,"South America",6
"97",1976,"Asia",80
"98",1976,"Europe",970
"99",1976,"North America",217
"100",1976,"Oceania",48
"101",1976,"South America",5
"102",1980,"Africa",22
"103",1980,"Asia",26
"104",1980,"Europe",1279
"105",1980,"North America",33
"106",1980,"Oceania",13
"107",1980,"South America",11
"108",1984,"Africa",16
"109",1984,"Asia",186
"110",1984,"Europe",706
"111",1984,"North America",453
"112",1984,"Oceania",75
"113",1984,"South America",43
"114",1988,"Africa",14
"115",1988,"Asia",159
"116",1988,"Europe",1060
"117",1988,"North America",241
"118",1988,"Oceania",59
"119",1988,"South America",51
"120",1992,"Africa",52
"121",1992,"Asia",248
"122",1992,"Europe",760
"123",1992,"North America",343
"124",1992,"Oceania",72
"125",1992,"South America",20
"126",1996,"Africa",53
"127",1996,"Asia",379
"128",1996,"Europe",932
"129",1996,"North America",389
"130",1996,"Oceania",141
"131",1996,"South America",85
"132",2000,"Africa",57
"133",2000,"Asia",442
"134",2000,"Europe",1057
"135",2000,"North America",383
"136",2000,"Oceania",187
"137",2000,"South America",87
"138",2004,"Africa",45
"139",2004,"Asia",502
"140",2004,"Europe",1031
"141",2004,"North America",363
"142",2004,"Oceania",163
"143",2004,"South America",114
"144",2008,"Africa",60
"145",2008,"Asia",541
"146",2008,"Europe",894
"147",2008,"North America",433
"148",2008,"Oceania",164
"149",2008,"South America",134
"150",2012,"Africa",37
"151",2012,"Asia",505
"152",2012,"Europe",964
"153",2012,"North America",384
"154",2012,"Oceania",141
"155",2012,"South America",89
"156",2016,"Africa",75
"157",2016,"Asia",440
"158",2016,"Europe",1073
"159",2016,"North America",388
"160",2016,"Oceania",131
"161",2016,"South America",84
