"","X1","Age","Sex","item","number"
"1",1,"10-14","F","total medals",78
"2",1,"10-14","F","perc_formatted",0.694
"3",2,"15-19","F","total medals",1789
"4",2,"15-19","F","perc_formatted",15.922
"5",3,"20-24","F","total medals",4054
"6",3,"20-24","F","perc_formatted",36.08
"7",4,"25-29","F","total medals",3582
"8",4,"25-29","F","perc_formatted",31.88
"9",5,"30-34","F","total medals",1335
"10",5,"30-34","F","perc_formatted",11.881
"11",6,"35-39","F","total medals",282
"12",6,"35-39","F","perc_formatted",2.51
"13",7,"40-44","F","total medals",78
"14",7,"40-44","F","perc_formatted",0.694
"15",8,"45-49","F","total medals",23
"16",8,"45-49","F","perc_formatted",0.205
"17",9,"50-54","F","total medals",7
"18",9,"50-54","F","perc_formatted",0.062
"19",10,"55-59","F","total medals",4
"20",10,"55-59","F","perc_formatted",0.036
"21",11,"60+","F","total medals",4
"22",11,"60+","F","perc_formatted",0.036
"23",12,"10-14","M","total medals",21
"24",12,"10-14","M","perc_formatted",0.076
"25",13,"15-19","M","total medals",1520
"26",13,"15-19","M","perc_formatted",5.465
"27",14,"20-24","M","total medals",10477
"28",14,"20-24","M","perc_formatted",37.668
"29",15,"25-29","M","total medals",9431
"30",15,"25-29","M","perc_formatted",33.907
"31",16,"30-34","M","total medals",3957
"32",16,"30-34","M","perc_formatted",14.227
"33",17,"35-39","M","total medals",1296
"34",17,"35-39","M","perc_formatted",4.66
"35",18,"40-44","M","total medals",605
"36",18,"40-44","M","perc_formatted",2.175
"37",19,"45-49","M","total medals",286
"38",19,"45-49","M","perc_formatted",1.028
"39",20,"50-54","M","total medals",128
"40",20,"50-54","M","perc_formatted",0.46
"41",21,"55-59","M","total medals",55
"42",21,"55-59","M","perc_formatted",0.198
"43",22,"60+","M","total medals",38
"44",22,"60+","M","perc_formatted",0.137
