"","Name","Sport","Sex","Team","n"
"1","A. Albert","Rugby","M","Union des Socits Franais de Sports Athletiques",1
"2","Aage Jrgen Christian Andersen","Football","M","Denmark",1
"3","Aage Valdemar Harald Frandsen","Gymnastics","M","Denmark",1
"4","Aagje ""Ada"" Kok (-van der Linden)","Swimming","F","Netherlands",1
"5","Aale Maria Tynni (-Pirinen, -Haavio)","Art Competitions","F","Finland",1
"6","Aaron Nguimbat","Football","M","Cameroon",1
"7","Aaron Nigel Armstrong","Athletics","M","Trinidad and Tobago",1
"8","Aaron Wells Peirsol","Swimming","M","United States",5
"9","Aavo Pikkuus","Cycling","M","Soviet Union",1
"10","aban Trstena","Wrestling","M","Yugoslavia",1
"11","Abas Arslanagi","Handball","M","Yugoslavia",1
"12","Abbey Weitzeil","Swimming","F","United States",1
"13","Abdon Pamich","Athletics","M","Italy",1
"14","Abdul-Rashid Bulayevich Sadulayev","Wrestling","M","Russia",1
"15","Abdul Hamid","Hockey","M","Pakistan",1
"16","Abdul Rashid","Hockey","M","Pakistan",1
"17","Abdul Rashid Al-Hasan","Hockey","M","Pakistan",1
"18","Abdul Waheed Khan","Hockey","M","Pakistan",1
"19","Abdullah Movahed Ardabili","Wrestling","M","Iran",1
"20","Abebe Bikila","Athletics","M","Ethiopia",2
"21","Abel Richard Kiviat","Athletics","M","United States",1
"22","Abelardo Fernndez Antua","Football","M","Spain",1
"23","Abelardo Olivier","Fencing","M","Italy",2
"24","Abhinav Bindra","Shooting","M","India",1
"25","Abiodun Olugbemiga Obafemi","Football","M","Nigeria",1
"26","Abraham Robertus ""Bram"" Lomans","Hockey","M","Netherlands",2
"27","Achille Piccini","Football","M","Italy",1
"28","Adam David Vernon Foote","Ice Hockey","M","Canada",1
"29","Adam Enright","Curling","M","Canada",1
"30","Adam George Peaty","Swimming","M","Great Britain",1
"31","Adam Joseph Van Koeverden","Canoeing","M","Canada",1
"32","Adam Khamidovich Saytiyev","Wrestling","M","Russia",1
"33","Adam Kreek","Rowing","M","Canada",1
"34","Adam Marek Korol","Rowing","M","Poland",1
"35","Adam McCright Nelson","Athletics","M","United States",1
"36","Adam Robert Pine","Swimming","M","Australia",1
"37","Adelaide T. Lambert (-Ballard)","Swimming","F","United States",1
"38","Adelheid ""Heidi"" Schmid (-Grundmann)","Fencing","F","Germany",1
"39","Adelina Dmitriyevna Sotnikova","Figure Skating","F","Russia",1
"40","Adenzia Aparecida Ferreira da Silva","Volleyball","F","Brazil",1
"41","Adhemar Canavessi","Football","M","Uruguay",1
"42","Adhemar Ferreira da Silva","Athletics","M","Brazil",2
"43","Adiel Palma Lpez","Baseball","M","Cuba",1
"44","Adolf ""Adi"" Kainz","Canoeing","M","Austria",1
"45","Adolf Bergman","Tug-Of-War","M","Sweden",1
"46","Adolf Dirk Coenraad van der Voort van Zijp","Equestrianism","M","Netherlands",3
"47","Adolf Hoch","Art Competitions","M","Austria",1
"48","Adolf Spinnler","Gymnastics","M","Switzerland",1
"49","Adolf Valentin Lindfors","Wrestling","M","Finland",1
"50","Adolfo Consolini","Athletics","M","Italy",1
"51","Adolfo Tunesi","Gymnastics","M","Italy",1
"52","Adolph Gustav Kiefer","Swimming","M","United States",1
"53","Adrian Charles Ellison","Rowing","M","Great Britain",1
"54","Adrian David Moorhouse","Swimming","M","Great Britain",1
"55","Adrian Delano Dantley","Basketball","M","United States",1
"56","Adrian Edward Zieliski","Weightlifting","M","Poland",1
"57","Adrian Howard Smith","Basketball","M","United States",1
"58","Adrian Philip Parker","Modern Pentathlon","M","Great Britain",1
"59","Adrianus ""Janus"" van Merrienboer","Archery","M","Netherlands",1
"60","Adrianus Cornelis ""Janus"" Theeuwes","Archery","M","Netherlands",1
"61","Adrie ""Ard"" Schenk","Speed Skating","M","Netherlands",3
"62","Adrien Gry Rommel","Fencing","M","France",2
"63","Adrien Hardy","Rowing","M","France",1
"64","Aeriwentha Mae Faggs (-Starr)","Athletics","F","United States",1
"65","Afanasijs Kuzmins","Shooting","M","Soviet Union",1
"66","Agafia Orlov-Buhaev-Constantin","Canoeing","F","Romania",1
"67","Agneta Monica Andersson","Canoeing","F","Sweden",3
"68","Agostino Abbagnale","Rowing","M","Italy",3
"69","Agostino Straulino","Sailing","M","Merope",1
"70","Agustn Alejandro Mazzilli","Hockey","M","Argentina",1
"71","Ahmad Abughaush","Taekwondo","M","Jordan",1
"72","Ahmed bin Hasher Al-Maktoum","Shooting","M","United Arab Emirates",1
"73","Ahmed Muhammad Boughera El Ouafi","Athletics","M","France",1
"74","Ahmed Naseer Bunda","Hockey","M","Pakistan",1
"75","Ahmed Sher Khan","Hockey","M","India",1
"76","Ahmet Ayk","Wrestling","M","Turkey",1
"77","Ahmet Bilek","Wrestling","M","Turkey",1
"78","Ahmet Kirei (Mersinli-)","Wrestling","M","Turkey",1
"79","Ahsan Muhammad Khan","Hockey","M","India",1
"80","Ai Shibata","Swimming","F","Japan",1
"81","Aida Vladimirovna Shanayeva","Fencing","F","Russia",1
"82","Aikaterini ""Ekaterini"" Stefanidi","Athletics","F","Greece",1
"83","Aileen Muriel Riggin (-Soule)","Diving","F","United States",1
"84","Aim Joseph Haegeman","Equestrianism","M","Belgium",1
"85","Aimilia Tsoulfa","Sailing","F","Greece",1
"86","Akakios Kakiasvili","Weightlifting","M","Greece",2
