"","Year","Team","total"
"1",1896,"Australia",2
"2",1896,"Australia/Great Britain",2
"3",1896,"Austria",5
"4",1896,"Denmark",6
"5",1896,"Ethnikos Gymnastikos Syllogos",2
"6",1896,"France",11
"7",1896,"Germany",31
"8",1896,"Great Britain",7
"9",1896,"Great Britain/Germany",2
"10",1896,"Greece",44
"11",1896,"Greece-1",2
"12",1896,"Hungary",6
"13",1896,"Switzerland",3
"14",1896,"United States",20
"15",1900,"A North American Team",4
"16",1900,"Amateur Athletic Association",5
"17",1900,"Aschenbrodel",8
"18",1900,"Australia",5
"19",1900,"Austria",6
"20",1900,"Baby-1",2
"21",1900,"Bagatelle Polo Club, Paris",4
"22",1900,"Belgium",14
"23",1900,"Belgium-1",1
"24",1900,"BLO Polo Club, Rugby",4
"25",1900,"Bohemia",2
"26",1900,"Bohemia/Great Britain",2
"27",1900,"Bona Fide",3
"28",1900,"Brussels Swimming and Water Polo Club",10
"29",1900,"Brynhild-2",1
"30",1900,"Canada",2
"31",1900,"Carabinier-15",1
"32",1900,"Cercle de l'Aviron Roubaix-4",5
"33",1900,"Cicely-1",1
"34",1900,"Club Nautique de Lyon-2",4
"35",1900,"Crabe II-1",5
"36",1900,"Crabe II-4",5
"37",1900,"Cuba",2
"38",1900,"Denmark",6
"39",1900,"Denmark/Sweden",6
"40",1900,"Deutscher Schwimm Verband Berlin",4
"41",1900,"Devon and Somerset Wanderers",12
"42",1900,"Esterel-1",2
"43",1900,"Fantlet-7",1
"44",1900,"Favorite-1",8
"45",1900,"Favorite Hammonia-3",6
"46",1900,"Femur-1",1
"47",1900,"Formosa",1
"48",1900,"Foxhunters Hurlingham",5
"49",1900,"France",75
"50",1900,"France-1",4
"51",1900,"France/Great Britain",2
"52",1900,"Frankfurt Club",15
"53",1900,"Frimousse",1
"54",1900,"Germania Ruder Club, Hamburg-2",5
"55",1900,"Germany",2
"56",1900,"Gitana-2",10
"57",1900,"Great Britain",22
"58",1900,"Great Britain-1",2
"59",1900,"Great Britain-2",2
