,Team,total
1,30. Februar,0
2,A North American Team,4
3,Acipactli,0
4,Acturus,0
5,Afghanistan,2
6,Akatonbo,0
7,Alain IV,0
8,Albania,0
9,Alcaid,0
10,Alcyon-6,0
11,Alcyon-7,0
12,Aldebaran,0
13,Aldebaran II,0
14,Aletta,0
15,Algeria,17
16,Ali-Baba II,5
17,Ali-Baba IV,0
18,Ali-Baba IX,0
19,Ali-Baba VI,0
20,Allegro,0
21,Almaz,0
22,Aloha II,0
23,Amateur Athletic Association,5
24,American Samoa,0
25,Amolgavar,0
26,Amstel Amsterdam,4
27,Amulet-3,0
28,Amulet-7,0
29,Ancora,4
30,Andorinha,0
31,Andorra,0
32,Andromeda,0
33,Angelita,12
34,Angerburg,0
35,Angola,0
36,Anitra,0
37,Antares,0
38,Antigua and Barbuda,0
39,Antwerpia V,5
40,Apache,0
41,Aphrodite,3
42,Arcturus,0
43,Ardilla,0
44,Aretusa,0
45,Argentina,266
46,Argentina-1,0
47,Argentina-2,0
48,Argeste,0
49,Argo II,0
50,Argonaut Rowing Club,6
51,Argus,0
52,Ariel,0
53,Ariette-10,0
54,Ariette-8,0
55,Armenia,16
56,Aruba,0
57,Aschenbrodel,8
58,Astrid III,0
59,Atalanta Boat Club-1,2
60,Atalanta Boat Club-2,2
61,Athens-2,0
62,Atlanta,9
63,Augsburg,0
64,Ausonia,0
65,Australasia,29
66,Australia,1306
67,Australia-1,4
68,Australia-2,0
69,Australia-3,0
70,Australia/Great Britain,2
71,Austria,413
72,Austria-1,32
73,Austria-2,4
74,Azerbaijan,44
75,Babe,0
76,Baby-1,2
77,Baby-9,0
78,Baccara,0
79,"Bagatelle Polo Club, Paris",4
80,Bahamas,36
81,Bahrain,3
82,Bajazzo,0
83,Balaton,0
84,Ballerina IV,3
85,Bamba,0
86,Bangladesh,0
87,Barbados,1
88,Barco Deloro,0
89,Barion/Bari-2,3
90,Barrenjoey,3
91,Beatrijs III-1,3
92,Beaver,0
93,Belarus,139
94,Belarus-1,0
95,Belarus-2,0
96,Belgium,409
97,Belgium-1,6
98,Belgium-2,0
99,Belgium-3,0
100,Belgium-4,0
101,Belize,0
102,Bella,0
103,Bellatrix IX,0
104,Bellatrix XIII,0
105,Bem II,2
106,Benin,0
107,Bera,5
108,Berliner Ruderclub,2
109,Berliner Ruderclub Sport-Borussia-1,0
110,Berliner Ruderverein von 1876-2,9
111,Bermuda,1
112,Bermudes,0
113,Bermudian,0
114,Bhutan,0
115,Bim,0
116,Bingo,3
117,Bissbi,4
118,"BLO Polo Club, Rugby",4
119,Blue Red,0
120,Bluebottle,3
121,Boer Team,0
122,Bohemia,11
123,Bohemia-1,0
124,Bohemia-2,0
125,Bohemia-3,0
126,Bohemia/Great Britain,2
127,Bolivia,0
128,Bona Fide,3
129,Bonaparte,1
130,Bonzo,3
131,Boreas,0
132,Boreas-2,2
133,Bosnia and Herzegovina,0
134,Boston Archers,4
135,Botswana,1
136,Brandenburg,0
137,Brat,0
138,Brazil,449
139,Brazil-1,20
140,Brazil-2,6
141,Bremen,0
142,Brentina,0
143,Breslau,0
144,Briar,0
145,Brigantia,0
146,British Virgin Islands,0
147,Bronia,0
148,Brunei,0
149,Brussels Swimming and Water Polo Club,10
150,Brynhild-2,1
151,Bu III,0
152,Bucintoro Venezia,8
153,Bucintoro Venezia-1,3
154,Bulgaria,342
155,Bulgaria-1,0
156,Bulgaria-2,0
157,Buraddoo,3
158,Burevestnik,0
159,Burkina Faso,0
160,Burundi,2
161,Buscape II,0
162,Bylina-2,0
163,C.V.A.-14,0
164,C.V.A.-7,0
165,Calcinhas,0
166,Calimucho,0
167,Calypse II,0
168,Cambodia,0
169,Cambria,0
170,Cambridge University Boat Club-2,9
171,Camelia,0
172,Cameroon,22
173,Camille,1
174,Canada,1243
175,Canada-1,36
176,Canada-2,2
177,Canada-3,0
178,Canopus,0
179,Cape Verde,0
180,Caprice,4
181,Carabinier-15,1
182,Carabinier-5,0
183,Cayman Islands,0
184,Central African Republic,0
185,"Central Turnverein, Chicago",6
186,Century Boat Club-1,4
187,Cercle de l'Aviron Roubaix-4,5
188,Cercle Nautique de Reims-4,0
189,Ceres II,0
190,Cha-Cha III,0
191,Chad,0
192,Chaje II,0
193,Chamukina,0
194,Chance,0
195,Chicago Archers,0
196,Chicago Athletic Association,5
197,Chicago Athletic Association-2,11
198,Chile,32
199,China,901
200,China-1,52
201,China-2,34
202,China-3,2
203,Chinese Taipei,49
204,Chinese Taipei-1,0
205,Chinese Taipei-2,0
206,Chok,0
207,Christian Brothers' College-1,11
208,Chuckles,2
209,Cicely-1,1
210,Cinara-13,0
211,Cincinnati Archers,8
212,Ciocca,0
213,Ciocca II,0
214,Ciocca III,0
215,Circus,0
216,Ciss,0
217,Clearwater,1
218,Clementine V,0
219,Club Nautique de Dieppe-5,0
220,Club Nautique de Franais-1,0
221,Club Nautique de Lyon-2,4
222,Cobweb-1,5
223,Colette-10,0
224,Colette-12,0
225,Colombia,27
226,Comanche,2
227,Combine,0
228,Comoros,0
229,Compigne Polo Club,0
230,Complex II,4
231,"Concordia Turnverein, St Louis",0
232,Congo (Brazzaville),0
233,Congo (Kinshasa),0
234,Cook Islands,0
235,Cornwall,15
236,Costa Rica,4
237,Cote d'Ivoire,3
238,Covunco III,0
239,Crabe I-11,0
240,Crabe I-2,0
241,Crabe I-3,0
242,Crabe II-1,5
243,Crabe II-12,0
244,Crabe II-4,5
245,Crete,0
246,Croatia,149
247,Crocodile-11,0
248,Crocodile-13,0
249,Cuba,407
250,Cuba-1,0
251,Cuba-2,0
252,Cupidon III,0
253,Cupidon Viking,0
254,Cuxhaven,0
255,Cyprus,1
256,Czech Republic,134
257,Czech Republic-1,10
258,Czech Republic-2,0
259,Czechoslovakia,486
260,Czechoslovakia-1,2
261,Czechoslovakia-2,0
262,Czechoslovakia-3,0
263,Daisy,0
264,Damoiselle,0
265,Damoiselle IV,0
266,Danaldo,0
267,Dansk Idrts Forbund,0
268,Danuta,0
269,Danzig,0
270,"Davenport Turngemeinde, Davenport",0
271,Demi-Mondaine-15,0
272,Demi-Mondaine-17,0
273,Denmark,553
274,Denmark-1,2
275,Denmark-2,2
276,Denmark-3,0
277,Denmark-4,0
278,Denmark/Sweden,6
279,DeRuyter,0
280,Deutscher Schwimm Verband Berlin,4
281,Devon and Somerset Wanderers,12
282,Diablo,0
283,Diabolo St Maurice,0
284,Dick-8,0
285,Digby,1
286,Dinah V,0
287,Djibouti,1
288,Djinn,5
289,Dolfijn,0
290,Dominica,0
291,Dominican Republic,7
292,Don Schufro,1
293,Donar III,0
294,Dormy-1,3
295,Dow Jones,0
296,Dresden,0
297,Druzhba,0
298,Ducky-16,0
299,Ducky-4,0
300,Dylan-2,0
301,EA II,0
302,East Germany,941
303,East Germany-1,42
304,East Germany-2,22
305,East Germany-3,0
306,Ecuador,2
307,Edelweiss II-1,3
308,Egypt,27
309,Eissero VI,0
310,El Salvador,0
311,Eleda,7
312,Elisabeth V,3
313,Elisabeth X,5
314,Elsie,4
315,Elvis Va,1
316,Emily,5
317,Encore,3
318,England,1
319,England-1,23
320,Enotria,0
321,Equatorial Guinea,0
322,Eritrea,1
323,Erna Signe,10
324,Escapade,0
325,Espadarte,2
326,Espardate,0
327,Esperia,0
328,Espuma del Mar,0
329,Essen,0
330,Esterel-1,2
331,Estonia,45
332,Ethiopia,53
333,Ethnikos Gymnastikos Syllogos,2
334,Evita VI,0
335,Fada,0
336,Falcon IV,2
337,Falcon VI,0
338,Faneca,0
339,Fantasio III,0
340,Fantlet-2,0
341,Fantlet-7,1
342,Favorite-1,8
343,Favorite-17,0
344,Favorite Hammonia-3,6
345,Federated States of Micronesia,0
346,Femur-1,1
347,Femur-18,0
348,Feo,0
349,Fiji,13
350,Finland,876
351,Finland-1,0
352,Finland-2,0
353,Finn II,0
354,Firebird II,0
355,Floresco,0
356,Formosa,1
357,Fornebo,4
358,Fortuna,0
359,Foxhunters Hurlingham,5
360,Fram,0
361,Fram III,0
362,France,1550
363,France-1,22
364,France-2,4
365,France-3,4
366,France-4,0
367,France/Great Britain,2
368,Frankfurt Club,15
369,Freddy,0
370,Freia-19,0
371,Freia-5,0
372,Freja,0
373,Frieda,0
374,Frimousse,1
375,Frip IV,0
376,Fruits,0
377,Gabbiano,0
378,Gabon,1
379,Galatea II,0
380,Galejan,0
381,Galerna,0
382,Gallant,5
383,Gallia II,7
384,Galopin-20,0
385,Galopin-9,0
386,Galopin De La Font,0
387,Galt Football Club,13
388,Gam II,0
389,Gambia,0
390,Gem,2
391,Gem II,0
392,Gem III,0
393,Gem IV,2
394,Gem VII,0
395,Georgia,32
396,Germania II,6
397,"Germania Ruder Club, Hamburg",0
398,"Germania Ruder Club, Hamburg-2",5
399,Germany,1984
400,Germany-1,70
401,Germany-2,29
402,Germany-3,0
403,Germany/United States,0
404,Ghana,23
405,Gilliatt V,0
406,Girl Pat,0
407,Giselle-6,0
408,Gitana-2,10
409,Gitana-21,0
410,Glider,2
411,Glisten,0
412,Gran Gesto,0
413,Great Britain,1673
414,Great Britain-1,34
415,Great Britain-2,28
416,Great Britain-3,6
417,Great Britain-4,0
418,Great Britain/Germany,2
419,Greece,174
420,Greece-1,6
421,Greece-2,2
422,Greece-3,0
423,Greece-4,0
424,Greenoaks Dundee,0
425,Grenada,2
426,Grifo III,0
427,Grifo IV,0
428,Grifone,0
429,Gteborgs Roddfrening-2,0
430,Gteborgs Roddklubb-1,0
431,Guam,0
432,Guanahani,0
433,Guatemala,1
434,Guinea,0
435,Guinea Bissau,0
436,Gullvinge,0
437,Gustel V,0
438,Gustel X,3
439,Gustl XI,0
440,Guyana,1
441,Guyoni,3
442,Gwendoline-2,3
443,Gwendoline-22,0
444,GyoshuII,0
445,Gyp-23,0
446,Gyp-6,0
447,Gyrinus-1,6
448,Haiti,6
449,Hakahana,0
450,Hamburg,0
451,Hannover,0
452,Harmony,0
453,Hatuey,0
454,Hayama,0
455,Hb-20,0
456,Hb-24,0
457,Heatherbell,7
458,Heidelberg,0
459,Heira II,9
460,Helsingfors R. K.,0
461,Hera-1,10
462,Heroine,4
463,Hi-Hi,4
464,Hilarius,2
465,Hirondelle,0
466,Hojwa,3
467,Holland,0
468,Hollandia,6
469,Honduras,0
470,Hong Kong,2
471,Hong Kong-1,0
472,Hong Kong-2,2
473,Hornet,0
474,Humbug V,2
475,Hungaria,0
476,Hungaria Evezos Egylet,0
477,Hungary,1127
478,Hungary-1,8
479,Hungary-2,0
480,Hungary-3,0
481,Hurlingham-2,4
482,Iceland,17
483,Ilderim,0
484,Impala,0
485,Inca,0
486,Independent Rowing Club-3,2
487,India,197
488,India-1,0
489,India-2,0
490,Individual Olympic Athletes,5
491,Indonesia,27
492,Indonesia-1,14
493,Indonesia-2,0
494,Inga-Lill XXXXIII,0
495,Ingegerd,0
496,Iran,68
497,Iraq,1
498,Ireland,35
499,Ireland-1,0
500,Ireland-2,12
501,Ireland-3,4
502,Irene,5
503,Israel,9
504,Israel-1,0
505,Israel-2,0
506,Italia,6
507,Italy,1527
508,Italy-1,36
509,Italy-2,14
510,Italy-3,0
511,Jamaica,157
512,Jamaica-1,0
513,Jamaica-2,0
514,Japan,911
515,Japan-1,2
516,Japan-2,0
517,Japan-3,0
518,Jeanette-25,0
519,Jeannette-18,0
520,Jest,2
521,Jet,0
522,Jill,0
523,Jo,3
524,Johan,0
525,John B,0
526,Jordan,1
527,Joy,2
528,June Climene,0
529,Jupiter,2
530,K Division Metropolitan Police Team-3,8
531,K.S.S.S. 1912-2,0
532,Kalayaan,0
533,Kannibaltje,0
534,Kathleen,2
535,Kazakhstan,77
536,Kemphaan,0
537,Kenya,106
538,Kerstin-1,3
539,Kiel,0
540,Kingfisher,0
541,Kiribati,0
542,Kitty-1,8
543,Kln,0
544,Knigsberg,0
545,KNS,0
546,Kon-Tiki,0
547,Konstanz,0
548,Korshun,0
549,Kosovo,1
550,Kristiania Roklub,0
551,Kristiania Roklub-1,5
552,Kuling,0
553,Kullan,3
554,Kurush II,2
555,Kurush IV,0
556,Kuwait,2
557,Kyrgyzstan,3
558,L'Aile VI,6
559,"La Salle Turnverein, Chicago",0
560,LaBandera,0
561,Lady C,2
562,Lalage,5
563,Lancet,0
564,Laos,0
565,"Large boat, Central Naval Prep School ""Poros""-1",17
566,Lasha,0
567,Latvia,25
568,Latvia-1,10
569,Latvia-2,0
570,Laurea-1,1
571,Lbeck,0
572,Leander Club-1,18
573,Leander Club-2,4
574,Leander Club #1-1,2
575,Leander Club #2-2,2
576,Lebanon,4
577,Legionario,0
578,Leipzig,0
579,"Lemzos Thorichton ""Psara""-3",0
580,"Lemzos Thorichton ""Spetsai""-4",0
581,Lerina,6
582,Lesotho,0
583,Lett,0
584,Libellule de Paris,7
585,Libellule de Paris-3,0
586,Liberia,0
587,Libya,0
588,Liechtenstein,9
589,"Life boat naval ship ""Spetsai""-1",7
590,Linglom,0
591,Lithuania,61
592,Liverpool Police Team-2,8
593,Llanoria,11
594,London City Police-1,8
595,Lotta IV,0
596,Lucky,0
597,Lucky Girl-1,5
598,Lucky Star,0
599,Ludwigshafener Ruder Verein-1,5
600,Ludwigshafener Ruderverein,5
601,Lully II,5
602,Luxembourg,8
603,Luxembourg-1,0
604,Luxembourg-2,0
605,Lyn-2,5
606,Lynn,0
607,Ma'Lindo,2
608,Mac Miche,3
609,Macedonia,1
610,Macky VI,3
611,Mad Dog,0
612,Madagascar,0
613,Magda IX,10
614,Magdalen College Boat Club-1,4
615,Maid of Lebanon,0
616,Mainz,0
617,Malawi,0
618,Malaya,0
619,Malaysia,12
620,Malaysia-1,2
621,Malaysia-2,2
622,Maldives,0
623,Mali,0
624,Malta,0
625,Mamie-4,0
626,Mamie-6,0
627,Manana,0
628,Marga-2,0
629,Margaret,2
630,Mari,0
631,Marie-Tim,0
632,"Marinai della nave da guerra ""Varese""",24
633,Marmara,0
634,Marmi II-1,3
635,Marshall Islands,0
636,Marsouin-26,0
637,Marsouin-8,0
638,Martha-1,8
639,Martha-27,0
640,Maryke,0
641,Mascaret-28,0
642,Mascaret-4,0
643,Mascotte,3
644,Matrero II,0
645,Mauritania,0
646,Mauritius,1
647,Mauritius-1,0
648,Mauritius-2,0
649,May-Be 1960,0
650,May Be,5
651,May Be VII,0
652,Mebi,0
653,Merope,2
654,Merope III,2
655,Meteor,0
656,Mexico,107
657,Mexico-1,0
