"","Year","Team","Season","total"
"1",1896,"Australia","Summer",2
"2",1896,"Australia/Great Britain","Summer",2
"3",1896,"Austria","Summer",5
"4",1896,"Denmark","Summer",6
"5",1896,"Ethnikos Gymnastikos Syllogos","Summer",2
"6",1896,"France","Summer",11
"7",1896,"Germany","Summer",31
"8",1896,"Great Britain","Summer",7
"9",1896,"Great Britain/Germany","Summer",2
"10",1896,"Greece","Summer",44
"11",1896,"Greece-1","Summer",2
"12",1896,"Hungary","Summer",6
"13",1896,"Switzerland","Summer",3
"14",1896,"United States","Summer",20
"15",1900,"A North American Team","Summer",4
"16",1900,"Amateur Athletic Association","Summer",5
"17",1900,"Aschenbrodel","Summer",8
"18",1900,"Australia","Summer",5
"19",1900,"Austria","Summer",6
"20",1900,"Baby-1","Summer",2
"21",1900,"Bagatelle Polo Club, Paris","Summer",4
"22",1900,"Belgium","Summer",14
"23",1900,"Belgium-1","Summer",1
"24",1900,"BLO Polo Club, Rugby","Summer",4
"25",1900,"Bohemia","Summer",2
"26",1900,"Bohemia/Great Britain","Summer",2
"27",1900,"Bona Fide","Summer",3
"28",1900,"Brussels Swimming and Water Polo Club","Summer",10
"29",1900,"Brynhild-2","Summer",1
"30",1900,"Canada","Summer",2
"31",1900,"Carabinier-15","Summer",1
"32",1900,"Cercle de l'Aviron Roubaix-4","Summer",5
"33",1900,"Cicely-1","Summer",1
"34",1900,"Club Nautique de Lyon-2","Summer",4
"35",1900,"Crabe II-1","Summer",5
"36",1900,"Crabe II-4","Summer",5
"37",1900,"Cuba","Summer",2
"38",1900,"Denmark","Summer",6
"39",1900,"Denmark/Sweden","Summer",6
"40",1900,"Deutscher Schwimm Verband Berlin","Summer",4
"41",1900,"Devon and Somerset Wanderers","Summer",12
"42",1900,"Esterel-1","Summer",2
"43",1900,"Fantlet-7","Summer",1
"44",1900,"Favorite-1","Summer",8
"45",1900,"Favorite Hammonia-3","Summer",6
"46",1900,"Femur-1","Summer",1
"47",1900,"Formosa","Summer",1
"48",1900,"Foxhunters Hurlingham","Summer",5
"49",1900,"France","Summer",75
"50",1900,"France-1","Summer",4
"51",1900,"France/Great Britain","Summer",2
"52",1900,"Frankfurt Club","Summer",15
"53",1900,"Frimousse","Summer",1
"54",1900,"Germania Ruder Club, Hamburg-2","Summer",5
"55",1900,"Germany","Summer",2
"56",1900,"Gitana-2","Summer",10
"57",1900,"Great Britain","Summer",22
"58",1900,"Great Britain-1","Summer",2
"59",1900,"Great Britain-2","Summer",2
"60",1900,"Gwendoline-2","Summer",3
"61",1900,"Hungary","Summer",5
"62",1900,"India","Summer",2
"63",1900,"Italy","Summer",5
"64",1900,"Laurea-1","Summer",1
"65",1900,"Lerina","Summer",6
"66",1900,"Libellule de Paris","Summer",7
"67",1900,"Ludwigshafener Ruder Verein-1","Summer",5
"68",1900,"Luxembourg","Summer",1
"69",1900,"Martha-1","Summer",8
"70",1900,"Mascotte","Summer",3
"71",1900,"Mignon-3","Summer",1
"72",1900,"Minerva Amsterdam","Summer",17
"73",1900,"Moseley Wanderers","Summer",15
"74",1900,"Netherlands","Summer",6
"75",1900,"Nina Claire-2","Summer",4
"76",1900,"Norway","Summer",9
"77",1900,"Olle","Summer",6
"78",1900,"Osborne Swimming Club, Manchester","Summer",7
"79",1900,"Pupilles de Neptune de Lille-1","Summer",4
"80",1900,"Pupilles de Neptune de Lille #2-1","Summer",8
"81",1900,"Quand-Mme-2","Summer",9
"82",1900,"Racing Club de France","Summer",11
"83",1900,"Rowing Club Castillon-3","Summer",3
"84",1900,"Royal Club Nautique de Gand","Summer",9
"85",1900,"Sarcelle-3","Summer",3
"86",1900,"Scamasaxe-2","Summer",2
"87",1900,"Scamasaxe-3","Summer",2
"88",1900,"Scotia","Summer",6
"89",1900,"Societ Nautique de la Marne-1","Summer",2
"90",1900,"Spain","Summer",2
"91",1900,"Sweden","Summer",1
"92",1900,"Switzerland","Summer",15
"93",1900,"Tritons Lillois-2","Summer",5
"94",1900,"Turquoise-1","Summer",1
"95",1900,"Union des Socits Franais de Sports Athletiques","Summer",29
"96",1900,"United States","Summer",45
"97",1900,"United States/France","Summer",2
"98",1900,"United States/Great Britain","Summer",2
"99",1900,"Univ. of Brussels","Summer",11
"100",1900,"Upton Park FC","Summer",11
"101",1900,"USFSA","Summer",13
"102",1900,"Vesper Boat Club","Summer",9
"103",1904,"Atalanta Boat Club-1","Summer",2
"104",1904,"Atalanta Boat Club-2","Summer",2
"105",1904,"Australia","Summer",4
"106",1904,"Austria","Summer",3
"107",1904,"Boston Archers","Summer",4
"108",1904,"Canada","Summer",2
"109",1904,"Central Turnverein, Chicago","Summer",6
"110",1904,"Century Boat Club-1","Summer",4
"111",1904,"Chicago Athletic Association","Summer",5
"112",1904,"Chicago Athletic Association-2","Summer",11
"113",1904,"Christian Brothers' College-1","Summer",11
"114",1904,"Cincinnati Archers","Summer",8
"115",1904,"Cuba","Summer",5
"116",1904,"France","Summer",1
"117",1904,"Galt Football Club","Summer",13
"118",1904,"Germany","Summer",15
"119",1904,"Great Britain","Summer",2
"120",1904,"Greece","Summer",2
"121",1904,"Hungary","Summer",4
"122",1904,"Independent Rowing Club-3","Summer",2
"123",1904,"Milwaukee Athletic Club-1","Summer",5
"124",1904,"Missouri Athletic Club-3","Summer",11
"125",1904,"Mohawk Indians-2","Summer",12
"126",1904,"Mound City Rowing Club-2","Summer",4
"127",1904,"New York Athletic Club","Summer",5
"128",1904,"New York Athletic Club-1","Summer",7
"129",1904,"New York Athletic Club #1-1","Summer",4
"130",1904,"New York Turnverein, New York","Summer",6
"131",1904,"Norway","Summer",2
"132",1904,"Philadelphia Turngemeinde, Philadelphia","Summer",6
"133",1904,"Potomac Archers","Summer",4
"134",1904,"Ravenswood Boat Club-2","Summer",2
"135",1904,"Seawanhaka Boat Club-1","Summer",2
"136",1904,"St. Louis Amateur Athletic Association","Summer",12
"137",1904,"St. Louis Southwest Turnverein #1-2","Summer",5
"138",1904,"St. Louis Southwest Turnverein #2-3","Summer",5
"139",1904,"St. Rose-2","Summer",12
"140",1904,"Switzerland","Summer",3
"141",1904,"Toronto Argonauts","Summer",9
"142",1904,"Trans-Mississippi Golf Association-2","Summer",10
"143",1904,"United States","Summer",199
"144",1904,"United States-1","Summer",2
"145",1904,"United States-2","Summer",2
"146",1904,"United States-3","Summer",2
"147",1904,"United States-4","Summer",2
"148",1904,"United States Golf Association-3","Summer",10
"149",1904,"Vesper Boat Club","Summer",9
"150",1904,"Western Golf Association-1","Summer",10
"151",1904,"Western Rowing Club-3","Summer",6
"152",1904,"Winnipeg Shamrocks-1","Summer",12
"153",1906,"Australia","Summer",3
"154",1906,"Austria","Summer",9
"155",1906,"Barion/Bari-2","Summer",3
"156",1906,"Belgium","Summer",9
"157",1906,"Bohemia","Summer",3
"158",1906,"Bucintoro Venezia","Summer",8
"159",1906,"Bucintoro Venezia-1","Summer",3
"160",1906,"Canada","Summer",2
"161",1906,"Denmark","Summer",34
"162",1906,"Finland","Summer",4
"163",1906,"France","Summer",45
"164",1906,"Germany","Summer",30
"165",1906,"Great Britain","Summer",31
"166",1906,"Greece","Summer",28
"167",1906,"Greece-1","Summer",4
"168",1906,"Greece-2","Summer",2
"169",1906,"Hungary","Summer",13
"170",1906,"Italy","Summer",9
"171",1906,"Large boat, Central Naval Prep School ""Poros""-1","Summer",17
"172",1906,"Life boat naval ship ""Spetsai""-1","Summer",7
"173",1906,"Marinai della nave da guerra ""Varese""","Summer",24
"174",1906,"Netherlands","Summer",6
"175",1906,"Norway","Summer",25
"176",1906,"Omas Helliniki P. S.","Summer",8
"177",1906,"Phalainis ton Thorichtou ""Hydra""-2","Summer",24
"178",1906,"Pistoja/Firenze","Summer",9
"179",1906,"Royal Club Nautique de Gand","Summer",3
"180",1906,"Smyrna","Summer",11
"181",1906,"Socit Nautique de Bayonne-1","Summer",3
"182",1906,"Socit Nautique de Bayonne-2","Summer",5
"183",1906,"Socit Nautique de la Basse Seine-1","Summer",8
"184",1906,"Sweden","Summer",21
"185",1906,"Switzerland","Summer",12
"186",1906,"Thessalonki-1","Summer",11
"187",1906,"United States","Summer",24
"188",1908,"Amstel Amsterdam","Summer",4
"189",1908,"Argonaut Rowing Club","Summer",6
"190",1908,"Australasia","Summer",19
"191",1908,"Austria","Summer",1
"192",1908,"Belgium","Summer",21
"193",1908,"Berliner Ruderclub","Summer",2
"194",1908,"Bohemia","Summer",6
"195",1908,"Cambridge University Boat Club-2","Summer",9
"196",1908,"Camille","Summer",1
"197",1908,"Canada","Summer",37
"198",1908,"Cobweb-1","Summer",5
"199",1908,"Cornwall","Summer",15
"200",1908,"Denmark","Summer",17
"201",1908,"Dormy-1","Summer",3
"202",1908,"England-1","Summer",11
"203",1908,"Finland","Summer",30
"204",1908,"France","Summer",36
"205",1908,"Germany","Summer",19
"206",1908,"Great Britain","Summer",167
"207",1908,"Great Britain-1","Summer",14
"208",1908,"Great Britain-2","Summer",14
"209",1908,"Great Britain-3","Summer",4
"210",1908,"Greece","Summer",4
"211",1908,"Guyoni","Summer",3
"212",1908,"Gyrinus-1","Summer",6
"213",1908,"Hera-1","Summer",10
"214",1908,"Heroine","Summer",4
"215",1908,"Hungary","Summer",20
"216",1908,"Hurlingham-2","Summer",4
"217",1908,"Ireland-2","Summer",12
"218",1908,"Ireland-3","Summer",4
"219",1908,"Italy","Summer",8
"220",1908,"K Division Metropolitan Police Team-3","Summer",8
"221",1908,"Leander Club-1","Summer",9
"222",1908,"Leander Club-2","Summer",4
"223",1908,"Leander Club #1-1","Summer",2
"224",1908,"Leander Club #2-2","Summer",2
"225",1908,"Liverpool Police Team-2","Summer",8
"226",1908,"London City Police-1","Summer",8
"227",1908,"Magdalen College Boat Club-1","Summer",4
"228",1908,"Mouchette-2","Summer",10
"229",1908,"Netherlands","Summer",12
"230",1908,"Norway","Summer",42
"231",1908,"Roehampton-1","Summer",4
"232",1908,"Royal Club Nautique de Gand","Summer",9
"233",1908,"Russia","Summer",3
"234",1908,"Scotland-3","Summer",11
"235",1908,"Sorais-2","Summer",5
"236",1908,"South Africa","Summer",2
