"","Year","Team","Season","total"
"1",1924,"Australia","Winter",1
"2",1924,"Austria","Winter",4
"3",1924,"Belgium-1","Winter",5
"4",1924,"Canada","Winter",9
"5",1924,"Finland","Winter",15
"6",1924,"France","Winter",8
"7",1924,"France-1","Winter",2
"8",1924,"Great Britain","Winter",27
"9",1924,"Great Britain-1","Winter",4
"10",1924,"India","Winter",7
"11",1924,"Nepal","Winter",1
"12",1924,"Norway","Winter",17
"13",1924,"Sweden","Winter",9
"14",1924,"Switzerland","Winter",5
"15",1924,"Switzerland-1","Winter",4
"16",1924,"United States","Winter",12
"17",1928,"Austria","Winter",2
"18",1928,"Austria-1","Winter",2
"19",1928,"Austria-2","Winter",2
"20",1928,"Belgium","Winter",1
"21",1928,"Canada","Winter",12
"22",1928,"Czechoslovakia","Winter",1
"23",1928,"Finland","Winter",4
"24",1928,"France","Winter",2
"25",1928,"Germany-2","Winter",5
"26",1928,"Great Britain","Winter",1
"27",1928,"Norway","Winter",15
"28",1928,"Sweden","Winter",16
"29",1928,"Switzerland","Winter",12
"30",1928,"United States","Winter",4
"31",1928,"United States-1","Winter",5
"32",1928,"United States-2","Winter",5
"33",1932,"Austria","Winter",2
"34",1932,"Canada","Winter",20
"35",1932,"Finland","Winter",3
"36",1932,"France","Winter",2
"37",1932,"Germany","Winter",10
"38",1932,"Germany-1","Winter",4
"39",1932,"Hungary-1","Winter",2
"40",1932,"Norway","Winter",10
"41",1932,"Sweden","Winter",3
"42",1932,"Switzerland-2","Winter",2
"43",1932,"United States","Winter",20
"44",1932,"United States-1","Winter",8
"45",1932,"United States-2","Winter",6
"46",1936,"Austria","Winter",3
"47",1936,"Austria-1","Winter",2
"48",1936,"Canada","Winter",13
"49",1936,"Finland","Winter",9
"50",1936,"France","Winter",1
"51",1936,"Germany","Winter",5
"52",1936,"Germany-1","Winter",2
"53",1936,"Great Britain","Winter",17
"54",1936,"Hungary-1","Winter",2
"55",1936,"Norway","Winter",18
"56",1936,"Sweden","Winter",10
"57",1936,"Switzerland-1","Winter",4
"58",1936,"Switzerland-2","Winter",6
"59",1936,"United States","Winter",12
"60",1936,"United States-1","Winter",2
"61",1936,"United States-2","Winter",2
"62",1948,"Austria","Winter",8
"63",1948,"Belgium","Winter",6
"64",1948,"Canada","Winter",15
"65",1948,"Czechoslovakia","Winter",17
"66",1948,"Finland","Winter",9
"67",1948,"France","Winter",5
"68",1948,"Great Britain","Winter",2
"69",1948,"Hungary-1","Winter",2
